V1 ........... ab 0.702 0.004 0.940 0.009 13 0.297 0.370
V2 ........... ab 0.675 0.008 0.924 0.010 9 0.283 0.354
V3 ........... ab 0.725 0.004 0.963 0.006 12 0.321 0.393
V4 ........... ab 0.722 0.003 0.959 0.006 13 0.312 0.389
V5a .......... ab 0.609 0.003 0.829 0.005 3 0.223 0.259
V6a .......... ab 0.633 0.005 0.894 0.022 13 0.243 0.324
V7 ........... ab 0.637 0.005 0.878 0.018 12 0.227 0.308
V8a .......... ab 0.667 0.015 0.915 0.012 20 0.257 0.345
V9 ........... ab 0.658 0.003 0.941 0.026 24 0.268 0.371
V10 ......... ab 0.684 0.013 1.000 0.039 13 0.292 0.430
V12 ......... ab 0.670 0.004 0.884 0.006 21 0.285 0.314
V13 ......... ab 0.673 0.034 0.986 0.031 13 0.273 0.416
V14 ......... ab 0.760 0.023 1.022 0.053 16 0.373 0.452
V15 ......... ab 0.621 0.010 0.893 0.034 11 0.229 0.323
V17 ......... ab 0.656 0.003 0.900 0.007 15 0.258 0.330
V18 ......... ab 0.656 0.006 0.888 0.006 10 0.263 0.318
V19a ........ ab 0.637 0.010 0.888 0.010 3 0.247 0.318
V20a ........ ab 0.645 0.020 0.878 0.019 3 0.254 0.308
V21 ......... ab 0.674 0.004 0.900 0.009 11 0.276 0.330
V22 ......... ab 0.662 0.005 0.925 0.014 12 0.257 0.355
V23 ......... ab 0.678 0.003 0.929 0.011 25 0.276 0.359
V24 ......... ab 0.586 0.049 0.973 0.035 14 0.184 0.403
V25 ......... ab 0.642 0.006 0.874 0.007 13 0.254 0.304
V26 ......... ab 0.720 0.003 0.962 0.010 10 0.321 0.392
V27a ........ ab 0.675 0.018 0.870 0.015 3 0.292 0.300
V28 ......... ab 0.687 0.004 0.941 0.005 14 0.286 0.371
V29 ......... ab 0.643 0.007 0.891 0.024 10 0.252 0.321
V30a ........ ab 0.613 0.010 0.857 0.020 8 0.224 0.287
V31a ........ ab 0.740 0.007 0.987 0.011 11 0.351 0.417
V32 ......... ab 0.672 0.007 0.918 0.007 10 0.275 0.348
V35 ......... ab 0.668 0.003 0.898 0.004 15 0.261 0.328
V36a ........ ab 0.615 0.007 0.974 0.085 10 0.232 0.404
V37 ......... ab 0.595 0.044 0.913 0.018 20 0.195 0.343
V38 ......... ab 0.610 0.011 0.853 0.011 31 0.223 0.283
V39 ......... ab 0.644 0.004 0.883 0.006 17 0.261 0.313
V40 ......... ab 0.655 0.043 0.984 0.032 13 0.243 0.414
V42 ......... ab 0.592 0.029 0.938 0.052 14 0.199 0.368
V44 ......... ab 0.676 0.004 0.914 0.004 13 0.270 0.344
V45a ........ ab 0.716 0.006 0.964 0.009 11 0.323 0.394
V47 ......... ab 0.596 0.007 0.841 0.007 12 0.206 0.271
V49 ......... ab 0.675 0.004 0.904 0.007 18 0.274 0.334
V50 ......... ab 0.658 0.005 0.896 0.008 12 0.264 0.326
V51a ........ ab 0.635 0.011 0.842 0.009 11 0.246 0.272
V71 ......... ab 0.659 0.004 0.925 0.029 13 0.255 0.355
V73 ......... ab 0.670 0.004 0.905 0.007 12 0.281 0.335
V76 ......... ab 0.641 0.005 0.877 0.014 20 0.250 0.307
V77 ......... ab 0.660 0.005 0.868 0.006 12 0.262 0.298
V78 ......... ab 0.653 0.003 0.894 0.009 15 0.265 0.324
V80 ......... ab 0.646 0.004 0.886 0.006 14 0.244 0.316
V81 ......... ab 0.673 0.006 0.918 0.006 13 0.284 0.348
V83 ......... ab 0.684 0.005 0.933 0.006 16 0.290 0.363
V90 ......... ab 0.661 0.003 0.897 0.004 13 0.256 0.327
V92 ......... ab 0.674 0.019 0.928 0.048 14 0.281 0.358
V100 ....... ab 0.647 0.006 0.884 0.007 10 0.252 0.314
