ID type period Emax B V I A_B A_V A_I
269 ab 0.6048761 960.2698 15.42 14.81 13.97 1.18 0.92 0.62
179 ab 0.5326722 960.3673 15.35 14.8 14.01 1.37 1.07 0.73
284 ab 0.59941 960.5189 15.54 14.91 14.02 1.07 0.8 0.54
251 ab 0.6300096 960.3507 15.4 14.8 13.94 1.33 1.02 0.7
134 ab 0.50155 960.4593 15.23 14.73 14.04 1.19 0.94 0.61
256 ab 0.52526 960.4178 15.25 14.74 14 1.19 0.9 0.59
208 ab 0.6303322 960.3296 15.29 14.69 13.89 0.66 0.67 0.36
257 ab 0.6286573 960.5342 15.36 14.74 13.92 0.93 0.73 0.44
309 ab 0.52553 960.5392 15.37 14.82 14.05 1.22 0.96 0.61
339 ab 0.5351644 961.4241 15.41 14.84 14.02 1.16 0.88 0.66
344 ab 0.4955547 961.047 15.83 15.16 14.06 0.14 0.17 0.52
232 ab 0.5752145 961.0478 15.45 14.85 14 1.17 0.88 0.58
358 ab 0.5092945 961.3522 15.59 14.99 14.14 1.47 1.13 0.79
133 ab 0.5346644 951.3986 15.12 14.62 13.9 1.35 1.12 0.69
247 ab 0.56559 960.4595 15.32 14.76 13.96 1.18 0.92 0.63
258 ab 0.539655 960.5002 15.27 14.74 13.98 1.37 1.05 0.72
181 ab 0.52503 961.3556 15.28 14.73 13.98 1.1 0.92 0.67
120 ab 0.5291 961.2803 15.19 14.68 13.94 1.37 1.07 0.69
286 ab 0.566628 961.0939 15.42 14.83 14.01 0.95 0.73 0.56
260 ab 0.6059882 960.3204 15.34 14.75 13.93 1.1 0.86 0.58
283 ab 0.586775 960.1798 15.4 14.8 13.97 1.01 0.77 0.51
226 ab 0.5889534 961.5404 15.23 14.65 13.88 0.97 0.76 0.55
331 ab 0.514804 961.2822 15.24 14.73 14 1.38 1.05 0.71
304 ab 0.568968 960.5487 15.53 14.91 14.05 1.18 0.92 0.6
138 ab 0.484313 960.4818 15.25 14.76 14.03 1.49 1.21 0.79
272 ab 0.580025 960.24 15.48 14.87 14.02 1.09 0.86 0.55
244 ab 0.52912 961.2485 15.37 14.78 13.99 0.94 0.68 0.43
233 ab 0.5158559 961.087 15.1 14.6 13.93 1.17 0.87 0.68
285 ab 0.51912 961.1771 15.49 14.9 14.07 1.62 1.26 0.8
175 ab 0.5611656 961.5623 15.26 14.73 13.98 1.6 1.24 0.8
288 ab 0.6155244 961.3318 15.35 14.75 13.93 0.81 0.63 0.42
165 ab 0.484178 960.4155 15.21 14.73 14.02 1.55 1.26 0.85
240 ab 0.57574 960.3581 15.31 14.74 13.95 1.03 1.05 0.46
329 ab 0.50909 960.5026 15.34 14.81 14.05 1.03 0.81 0.66
330 ab 0.483233 960.589 15.32 14.81 14.08 1.51 1.2 0.8
300 ab 0.64382 960.1597 15.46 14.84 13.95 0.56 0.58 0.29
171 ab 0.538249 961.3917 15.11 14.61 13.89 1.35 1.22 0.68
186 ab 0.6107344 960.5237 15.37 14.76 13.92 0.81 0.62 0.44
278 ab 0.53746 960.1787 15.49 14.91 14.09 1.45 1.09 0.73
160 ab 0.52121 961.5714 15.15 14.65 13.94 1.19 0.89 0.57
274 ab 0.58102 961.1356 15.27 14.72 13.95 1.36 1.04 0.69
188 ab 0.542178 960.3527 15.25 14.71 13.93 1.31 1 0.68
199 ab 0.5186 960.3791 15.23 14.72 14.02 1.5 1.16 0.78
167 ab 0.60119 960.2549 15.25 14.7 13.9 1.02 0.78 0.5
211 ab 0.519965 961.2613 15.27 14.76 14.01 1.65 1.24 0.82
287 ab 0.52668 960.4026 15.37 14.81 14.01 0.84 0.66 0.78
243 ab 0.567644 960.1222 15.27 14.71 13.93 1.17 0.86 0.59
213 ab 0.5139 960.5244 15.38 14.85 14.05 1.29 1 0.66
301 ab 0.58996 960.4004 15.38 14.8 13.97 0.75 0.59 0.41
297 ab 0.519753 960.373 15.37 14.83 14.04 1.42 1.13 0.74
281 ab 0.5451998 961.3221 15.33 14.78 14.01 1.58 1.23 0.82
173 ab 0.606105 960.0304 15.24 14.68 13.89 1.21 0.94 0.6
212 ab 0.539585 960.3016 15.31 14.76 13.98 1.29 0.99 0.69
223 ab 0.54892 960.1415 15.32 14.77 13.99 1.28 1.02 0.71

