*******************************************************
GTC-OSIRIS-R500R spectra of A, B and G on 27 March 2014
*******************************************************
UNITS:				lambda in angstrom (A)
			flux in 10^{-17} ergs/cm^2/s/A
******************************************************* 
   	         flux
         -------------------
lambda     A     B      G
******************************
4850.009 6.840 10.502 4.528
4854.825 6.815 11.044 3.280
4859.642 6.910 11.929 3.012
4864.458 7.858 12.488 1.330
4869.275 8.214 13.147 0.762
4874.092 7.850 11.876 2.237
4878.908 7.566 11.812 2.236
4883.725 7.275 10.963 4.119
4888.541 7.852 12.253 0.752
4893.358 8.230 11.941 0.712
4898.174 8.767 12.231 0.861
4902.991 8.779 12.759 1.284
4907.808 9.423 12.541 1.190
4912.624 10.144 13.374 0.728
4917.441 9.916 13.707 1.182
4922.257 10.186 12.763 1.957
4927.074 10.399 12.826 2.553
4931.890 11.201 13.576 1.171
4936.707 11.706 14.069 0.891
4941.523 11.655 13.271 1.385
4946.340 11.672 13.108 2.006
4951.157 12.513 13.395 1.383
4955.973 12.304 13.518 1.933
4960.790 13.285 14.508 1.028
4965.606 14.133 14.267 1.925
4970.423 15.090 14.666 0.796
4975.239 16.013 15.071 1.346
4980.056 16.919 15.350 1.173
4984.872 18.314 15.369 2.375
4989.689 18.982 15.237 2.932
4994.506 20.062 16.454 1.451
4999.322 21.334 16.920 1.406
5004.139 21.558 16.500 2.184
5008.955 20.843 16.139 2.948
5013.772 19.770 16.568 1.830
5018.588 18.727 16.016 1.917
5023.405 17.138 15.555 1.841
5028.222 15.711 15.614 1.519
5033.038 15.218 15.696 0.998
5037.855 13.916 14.851 1.159
5042.671 13.292 14.901 2.010
5047.488 12.814 15.162 1.205
5052.304 11.868 14.492 1.650
5057.121 11.194 14.968 0.501
5061.937 10.615 14.345 1.281
5066.754 10.274 14.292 0.806
5071.571 9.523 14.221 0.623
5076.387 9.054 13.547 1.395
5081.204 8.440 13.374 1.608
5086.020 8.387 13.335 1.410
5090.837 7.956 13.201 1.416
5095.653 7.665 12.722 1.888
5100.470 7.499 12.716 1.651
5105.286 7.194 12.301 1.597
5110.103 7.159 12.594 0.908
5114.920 7.044 12.354 1.463
5119.736 6.733 12.003 1.564
5124.553 6.643 12.143 1.798
5129.369 6.672 12.075 1.571
5134.186 6.594 12.081 1.054
5139.002 6.692 12.280 1.253
5143.819 6.598 11.856 1.552
5148.636 6.290 11.420 1.758
5153.452 6.227 11.484 1.917
5158.269 6.267 11.396 1.696
5163.085 6.414 11.518 1.096
5167.902 6.200 11.382 1.355
5172.718 6.115 11.174 2.027
5177.535 6.365 11.368 1.082
5182.351 6.287 11.444 1.447
5187.168 6.194 11.302 1.396
5191.985 6.120 10.830 2.482
5196.801 6.247 11.368 1.371
5201.618 6.205 11.269 1.123
5206.434 5.931 10.853 2.305
5211.251 6.306 11.174 1.074
5216.067 6.321 11.400 1.269
5220.884 6.382 11.325 0.939
5225.700 6.324 11.368 1.299
5230.517 6.498 11.554 1.307
5235.334 6.401 11.327 1.178
5240.150 6.254 11.209 1.559
5244.967 6.445 11.039 1.565
5249.783 6.460 11.132 1.171
5254.600 6.422 11.125 1.208
5259.416 6.383 11.042 1.299
5264.233 6.498 11.088 1.201
5269.050 6.333 11.142 1.009
5273.866 6.290 10.922 1.603
5278.683 6.557 11.180 1.595
5283.499 6.683 11.416 1.252
5288.316 6.870 11.243 1.559
5293.132 6.973 11.529 1.225
5297.949 6.978 11.417 1.274
5302.765 6.803 11.401 1.591
5307.582 6.808 11.238 1.476
5312.399 6.444 11.124 1.655
5317.215 6.570 11.501 0.863
5322.032 6.524 11.206 1.462
5326.848 6.404 11.114 1.048
5331.665 6.464 11.088 1.410
5336.481 6.300 11.131 1.440
5341.298 6.374 11.061 1.238
5346.114 6.246 11.110 1.290
5350.931 6.263 11.002 1.517
5355.748 6.519 11.253 1.167
5360.564 6.537 11.012 1.301
5365.381 6.430 10.852 1.787
5370.197 6.329 10.672 1.742
5375.014 6.493 10.975 1.242
5379.830 6.440 10.906 1.773
5384.647 6.518 10.987 1.293
5389.464 6.386 10.781 1.220
5394.280 6.155 10.629 1.647
5399.097 6.290 10.819 1.297
5403.913 6.107 10.562 1.674
5408.730 5.936 10.509 1.573
5413.546 5.964 10.530 1.312
5418.363 5.788 10.397 1.618
5423.179 5.685 10.254 1.688
5427.996 5.641 10.245 1.531
5432.813 5.638 10.437 0.999
5437.629 5.358 10.260 1.325
5442.446 5.422 10.206 1.525
5447.262 5.349 10.355 1.517
5452.079 5.300 10.155 1.345
5456.895 5.287 10.136 1.451
5461.712 5.134 10.121 1.307
5466.528 5.163 9.995 1.024
5471.345 5.082 9.852 1.492
5476.162 5.273 10.032 1.195
5480.978 5.127 10.000 1.036
5485.795 5.024 9.865 1.630
5490.611 4.977 9.592 1.964
5495.428 4.913 9.737 1.595
5500.244 5.056 9.688 1.413
5505.061 5.267 9.762 0.993
5509.878 5.255 9.866 1.139
5514.694 5.210 9.942 1.163
5519.511 5.200 9.785 1.185
5524.327 5.221 9.795 1.027
5529.144 5.151 9.798 1.288
5533.960 5.293 9.583 1.152
5538.777 5.376 9.903 1.013
5543.593 5.212 9.536 1.590
5548.410 5.267 9.542 1.455
5553.227 5.414 9.782 0.963
5558.043 5.406 9.682 1.491
5562.860 5.282 9.549 1.267
5567.676 5.278 9.619 1.432
5572.493 5.303 9.949 1.085
5577.309 5.441 9.112 1.432
5582.126 5.157 9.349 1.862
5586.942 5.460 9.476 0.630
5591.759 5.504 9.446 1.152
5596.576 5.274 9.386 1.497
5601.392 5.145 9.348 1.732
5606.209 5.493 9.428 1.125
5611.025 5.464 9.523 1.160
5615.842 5.408 9.461 1.036
5620.658 5.557 9.524 1.000
5625.475 5.451 9.346 1.305
5630.292 5.592 9.263 1.361
5635.108 5.724 9.358 1.184
5639.925 5.483 9.326 1.751
5644.741 5.643 9.257 1.316
5649.558 5.518 9.145 1.616
5654.374 5.594 9.122 1.580
5659.191 5.676 9.328 1.439
5664.007 5.666 9.190 1.281
5668.824 5.617 9.168 1.341
5673.641 5.494 9.011 1.861
5678.457 5.611 9.204 1.408
5683.274 5.597 9.236 1.046
5688.090 5.535 9.292 1.010
5692.907 5.380 9.065 1.594
5697.723 5.478 9.215 1.209
5702.540 5.276 9.024 1.156
5707.357 5.244 8.884 1.277
5712.173 5.203 8.825 1.252
5716.990 5.103 8.982 1.619
5721.806 5.149 8.934 1.289
5726.623 5.103 8.904 1.218
5731.439 5.148 8.911 1.130
5736.256 5.044 8.639 1.584
5741.072 5.076 8.744 1.130
5745.889 5.140 8.719 1.120
5750.706 5.155 8.741 1.013
5755.522 5.135 8.744 1.362
5760.339 5.261 8.783 1.084
5765.155 5.217 8.628 0.943
5769.972 5.232 8.560 1.430
5774.788 5.215 8.662 1.669
5779.605 5.256 8.842 1.257
5784.421 5.318 8.769 1.361
5789.238 5.376 8.704 0.923
5794.055 5.256 8.634 0.945
5798.871 5.178 8.646 1.092
5803.688 5.193 8.623 1.188
5808.504 5.104 8.608 1.166
5813.321 5.153 8.601 1.171
5818.137 5.097 8.430 1.470
5822.954 5.061 8.387 1.275
5827.771 5.170 8.734 0.856
5832.587 5.241 8.602 1.205
5837.404 5.259 8.502 1.246
5842.220 5.270 8.569 1.140
5847.037 5.347 8.536 1.358
5851.853 5.247 8.453 1.335
5856.670 5.249 8.368 1.229
5861.486 5.336 8.614 0.973
5866.303 5.483 8.555 1.357
5871.120 5.447 8.835 1.171
5875.936 5.451 8.667 1.354
5880.753 5.473 8.597 1.994
5885.569 5.502 8.715 1.444
5890.386 5.327 8.426 1.886
5895.202 5.281 8.459 1.723
5900.019 5.386 8.659 1.358
5904.835 5.298 8.541 1.574
5909.652 5.277 8.535 1.392
5914.469 5.213 8.231 1.528
5919.285 5.121 8.271 1.584
5924.102 5.270 8.209 1.400
5928.918 5.146 8.131 1.498
5933.735 5.147 8.065 1.778
5938.551 5.262 8.219 1.330
5943.368 5.347 8.156 1.340
5948.185 5.320 8.282 1.243
5953.001 5.450 8.277 1.347
5957.818 5.460 8.234 1.330
5962.634 5.559 8.273 1.291
5967.451 5.585 8.155 1.369
5972.267 5.666 8.124 1.415
5977.084 5.778 8.144 1.432
5981.900 6.017 8.387 0.988
5986.717 6.070 8.286 1.351
5991.534 6.179 8.277 1.471
5996.350 6.176 8.322 1.455
6001.167 6.277 8.465 1.328
6005.983 6.314 8.395 1.288
6010.800 6.363 8.515 1.084
6015.616 6.512 8.458 1.321
6020.433 6.468 8.472 1.293
6025.249 6.414 8.407 1.343
6030.066 6.344 8.252 1.437
6034.883 6.360 8.268 1.567
6039.699 6.415 8.366 1.362
6044.516 6.415 8.535 1.291
6049.332 6.241 8.363 1.640
6054.149 6.344 8.371 1.453
6058.965 6.586 8.551 1.174
6063.782 6.474 8.417 1.489
6068.599 6.518 8.348 1.517
6073.415 6.643 8.384 1.564
6078.232 6.835 8.510 1.568
6083.048 6.763 8.310 1.511
6087.865 7.083 8.445 1.338
6092.681 7.230 8.547 1.327
6097.498 7.359 8.332 1.528
6102.314 7.549 8.441 1.780
6107.131 7.747 8.439 1.699
6111.948 8.076 8.666 1.307
6116.764 8.124 8.534 1.516
6121.581 8.386 8.674 1.698
6126.397 8.339 8.647 1.383
6131.214 8.600 8.730 1.497
6136.030 8.856 8.909 1.520
6140.847 8.809 8.737 1.401
6145.663 9.080 8.800 1.179
6150.480 9.293 8.871 1.082
6155.297 9.523 8.753 1.460
6160.113 9.715 8.828 1.425
6164.930 9.776 8.843 1.404
6169.746 9.714 8.903 1.289
6174.563 9.435 8.685 1.395
6179.379 9.208 8.724 1.499
6184.196 8.873 8.500 1.581
6189.013 8.510 8.630 1.146
6193.829 8.254 8.563 1.009
6198.646 8.018 8.354 1.245
6203.462 7.704 8.280 1.465
6208.279 7.414 8.336 1.218
6213.095 7.084 8.079 1.341
6217.912 6.948 7.944 1.481
6222.728 6.774 8.017 0.967
6227.545 6.479 7.855 1.330
6232.362 6.159 7.695 1.477
6237.178 6.062 7.646 1.387
6241.995 5.935 7.638 1.351
6246.811 5.702 7.570 1.242
6251.628 5.624 7.557 1.319
6256.444 5.513 7.456 1.485
6261.261 5.393 7.485 1.390
6266.077 5.314 7.384 1.545
6270.894 5.182 7.426 1.589
