# row  PA_ERR      X0 X0_ERR      Y0 Y0_ERR     GRAD GRAD_ERR GRAD_R_ERR
#     degrees   pixel  pixel   pixel  pixel                             

    1   INDEF 1087.24  INDEF  778.56  INDEF    -506.    INDEF      INDEF
    2   15.70 1087.24   0.03  778.56   0.03   -1147.     317.      0.277
    3    4.07 1087.03   0.02  778.52   0.01   -1453.     111.     0.0767
    4    3.53 1086.94   0.02  778.47   0.02   -1509.     77.8     0.0516
    5    3.83 1086.91   0.02  778.42   0.02   -1224.     50.7     0.0414
    6    3.14 1086.85   0.02  778.37   0.02    -940.     35.9     0.0382
    7    6.20 1086.79   0.03  778.35   0.03    -725.     31.7     0.0437
    8    4.52 1086.74   0.03  778.29   0.03    -593.      24.     0.0405
    9    5.19 1086.76   0.04  778.31   0.04    -457.     22.9     0.0501
   10    6.56 1086.81   0.04  778.28   0.04    -415.     18.4     0.0444
   11    5.03 1086.71   0.04  778.25   0.03    -402.     15.1     0.0376
   12    7.30 1086.70   0.05  778.28   0.05    -339.     13.7     0.0403
   13   11.73 1086.79   0.04  778.30   0.04    -335.     10.2     0.0303
   14   22.47 1086.81   0.03  778.35   0.03    -333.     7.75     0.0233
   15   22.43 1086.81   0.03  778.35   0.03    -296.     7.18     0.0242
   16   41.19 1086.87   0.04  778.41   0.04    -296.     6.88     0.0233
   17   29.20 1086.83   0.04  778.40   0.04    -284.     6.06     0.0213
   18   12.60 1086.77   0.03  778.36   0.03    -281.     5.24     0.0187
   19    8.44 1086.81   0.04  778.41   0.04    -268.       5.     0.0186
   20    9.45 1086.80   0.04  778.40   0.04    -255.     4.81     0.0189
   21    7.37 1086.79   0.03  778.35   0.03    -254.     4.06      0.016
   22   10.94 1086.76   0.04  778.37   0.04    -256.     9.57     0.0374
   23    5.54 1086.76   0.03  778.34   0.03    -238.     8.92     0.0375
   24    5.52 1086.86   0.03  778.32   0.03    -226.     7.94     0.0351
   25    5.69 1086.75   0.03  778.32   0.04    -214.     6.67     0.0311
   26    5.99 1086.71   0.03  778.32   0.03    -210.     6.89     0.0328
   27    6.12 1086.68   0.04  778.33   0.04    -202.      7.2     0.0356
   28    5.00 1086.72   0.04  778.31   0.04    -196.     6.06     0.0309
   29    6.42 1086.71   0.04  778.36   0.04    -196.     5.36     0.0274
   30    7.25 1086.65   0.05  778.36   0.05    -180.     4.76     0.0265
   31    5.91 1086.65   0.05  778.27   0.05    -175.     4.52     0.0258
   32    5.20 1086.64   0.04  778.30   0.04    -170.     4.63     0.0273
   33    5.08 1086.60   0.04  778.33   0.05    -160.     4.26     0.0266
   34    6.53 1086.64   0.05  778.29   0.05    -147.      4.9     0.0333
   35    5.63 1086.64   0.05  778.23   0.05    -138.     6.27     0.0456
   36    6.07 1086.61   0.06  778.29   0.06    -129.     7.98     0.0619
   37    8.67 1086.46   0.09  778.24   0.10    -119.     10.9     0.0913
   38   10.24 1086.23   0.15  778.17   0.15    -114.     11.9      0.105
   39    8.97 1085.85   0.23  778.10   0.23    -118.     11.5     0.0973
   40    7.66 1085.43   0.30  778.07   0.29    -125.     11.5     0.0921
   41    6.86 1085.20   0.33  777.99   0.31    -126.     10.9     0.0869
   42    6.83 1085.12   0.35  777.93   0.33    -117.     10.1     0.0864
   43    6.74 1085.17   0.33  777.92   0.32    -115.      9.1     0.0793
