# row       RSMA     MAG MAG_LERR MAG_UERR      TFLUX_E      TFLUX_C  TMAG_E
#     pixel**1/4                                                            

    1    0.00000   -10.8    INDEF    INDEF        INDEF        INDEF   INDEF
    2    1.00000   -10.7  0.00127  0.00127       20286.       99305.   -10.8
    3    1.18921   -10.7  7.67E-4  7.66E-4      176443.      250018.   -13.1
    4    1.31607   -10.6  0.00104  0.00104      428902.      530737.   -14.1
    5    1.41421   -10.5  0.00102  0.00102      791276.      853425.   -14.7
    6    1.49535   -10.4  7.82E-4  7.83E-4     1154755.     1325816.   -15.2
    7    1.56508   -10.3   0.0011  0.00109     1685652.     1766084.   -15.6
    8    1.62658   -10.3  9.32E-4  9.31E-4     2185574.     2236677.   -15.8
    9    1.68179   -10.2  0.00113  0.00113     2686447.     2833017.   -16.1
   10    1.73205   -10.2  0.00114  0.00114     3383955.     3500697.   -16.3
   11    1.77828   -10.1  9.35E-4  9.34E-4     4008202.     4233215.   -16.5
   12    1.82116   -10.1  0.00115  0.00114     4765478.     4896619.   -16.7
   13    1.86121   -10.1  9.93E-4  9.92E-4     5541032.     5583350.   -16.9
   14    1.89883    -10.  7.80E-4  7.81E-4     6373490.     6495490.    -17.
   15    1.93434   -9.98  7.15E-4  7.16E-4     7279394.     7338422.   -17.2
   16    1.96799   -9.95  8.40E-4  8.39E-4     8154025.     8268501.   -17.3
   17    2.00000   -9.92  8.52E-4  8.52E-4     9059866.     9096915.   -17.4
   18    2.03054   -9.88  7.44E-4  7.43E-4     9902596.     1.0046E7   -17.5
   19    2.05977   -9.85  8.25E-4  8.24E-4     1.0931E7     1.1001E7   -17.6
   20    2.08780   -9.82  8.27E-4  8.25E-4     1.1927E7     1.2028E7   -17.7
   21    2.11474   -9.78  7.98E-4  7.96E-4     1.2942E7     1.3089E7   -17.8
   22    2.14070   -9.75  8.68E-4  8.66E-4     1.3957E7     1.4021E7   -17.9
   23    2.16574   -9.71  7.61E-4  7.60E-4     1.4912E7     1.5141E7   -17.9
   24    2.18994   -9.68  8.00E-4  8.00E-4     1.6031E7     1.6165E7    -18.
   25    2.21336   -9.64  7.96E-4  7.95E-4     1.7056E7     1.7185E7   -18.1
   26    2.23607   -9.61  7.82E-4  7.82E-4     1.8163E7     1.8371E7   -18.1
