#  Table M87_ima1isof.tab  Wed 13:40:00 09-Jan-2013

# row     SMA     INTENS    INT_ERR   PIX_VAR       RMS  ELLIP ELLIP_ERR      PA
#       pixel                                                            degrees

    1    0.00     20286.      INDEF     INDEF     INDEF  INDEF     INDEF   INDEF
    2    1.00     19780.       23.2      118.      83.5 0.1215    0.0603  -89.39
    3    2.00     18575.       13.1      66.9      47.3 0.1057    0.0137  -75.54
    4    3.00     17080.       16.4      98.4      69.6 0.0906    0.0106  -83.49
    5    4.00     15601.       14.6      101.      71.7 0.0669    0.0087  -86.10
    6    5.00     14403.       10.4      80.4      56.9 0.0589    0.0064   89.49
    7    6.00     13476.       13.6      117.      82.7 0.0424    0.0090  -80.15
    8    7.00     12791.        11.      102.       72. 0.0487    0.0075  -86.87
    9    8.00     12243.       12.8      126.      89.4 0.0554    0.0097  -83.06
   10    9.00     11753.       12.3      129.      91.5 0.0414    0.0093   85.37
   11   10.00     11341.       9.76      109.      76.9 0.0398    0.0068  -78.66
   12   11.00     10929.       11.5      134.      95.1 0.0348    0.0087  -82.98
   13   12.00     10558.       9.65      118.      83.6 0.0170    0.0069  -80.31
   14   13.00     10196.       7.33      93.3       66. 0.0058    0.0046  -76.63
   15   14.00      9861.        6.5      86.2       61. 0.0058    0.0045  -76.63
   16   15.00      9561.        7.4      101.      71.7 0.0033    0.0048  -27.69
   17   16.00      9260.       7.26      103.      72.6 0.0045    0.0046   -3.34
   18   17.00      8989.       6.15      89.6      63.4 0.0084    0.0037   10.87
   19   18.00      8716.       6.62       99.       70. 0.0133    0.0039    0.87
   20   19.00      8439.       6.42       99.       70. 0.0115    0.0038   10.56
   21   20.00      8183.       6.01       95.      67.2 0.0131    0.0034    1.01
   22   21.00      7921.       6.33      102.      72.4 0.0088    0.0034   -3.34
   23   22.00      7682.       5.38      89.1       63. 0.0151    0.0029   -4.35
   24   23.00      7436.       5.48      92.7      65.5 0.0156    0.0030   -7.02
   25   24.00      7198.       5.28      91.4      64.6 0.0147    0.0029   -4.18
   26   25.00      6968.       5.02      88.6      62.7 0.0130    0.0027  -10.93
   27   26.00      6756.       5.27      94.9      67.1 0.0133    0.0028   -5.18
   28   27.00      6556.       5.74      105.      74.4 0.0176    0.0030  -12.60
   29   28.00      6345.       5.93      111.      78.4 0.0137    0.0030  -19.22
   30   29.00      6144.       6.38      121.      85.8 0.0137    0.0034  -18.90
   31   30.00      5962.       5.71      110.       78. 0.0149    0.0031  -22.19
   32   31.00      5779.       5.29      104.      73.4 0.0157    0.0028  -23.55
   33   32.00      5603.       5.07      101.      71.5 0.0158    0.0028  -24.00
   34   33.00      5427.       5.21      106.      74.7 0.0134    0.0030  -25.13
   35   34.00      5272.       5.30      109.      77.1 0.0163    0.0032  -22.21
   36   35.00      5122.       5.89      123.      86.9 0.0174    0.0037  -27.47
   37   36.00      4980.       7.98      169.      119. 0.0174    0.0052  -40.12
   38   37.00      4872.       12.2      260.      184. 0.0228    0.0081  -58.03
   39   38.00      4798.       19.2      416.      294. 0.0383    0.0118  -68.11
   40   39.00      4743.       26.6      579.      410. 0.0566    0.0148  -72.99
   41   40.00      4650.       29.2      643.      455. 0.0668    0.0155  -71.64
   42   41.00      4534.       29.2      650.      459. 0.0698    0.0161  -70.88
   43   42.00      4394.       26.9      608.      430. 0.0653    0.0149  -71.48
   44   43.00      4259.       24.8      567.      401. 0.0605    0.0144  -70.83
   45   44.00      4136.       23.3      540.      382. 0.0560    0.0130  -69.03
   46   45.00      4016.       21.3      498.      352. 0.0546    0.0125  -67.81
   47   46.00      3896.       19.4      459.      325. 0.0498    0.0114  -66.88
   48   47.00      3782.        18.      433.      306. 0.0445    0.0111  -65.46
   49   48.00      3674.       16.4      398.      281. 0.0430    0.0105  -63.75
   50   49.00      3565.       14.6      359.      254. 0.0366    0.0094  -62.53
   51   50.00      3465.       12.9      321.      227. 0.0345    0.0088  -59.07
   52   51.00      3372.       11.2      279.      198. 0.0331    0.0079  -55.45
   53   52.00      3285.       9.54      242.      171. 0.0322    0.0070  -52.54
   54   53.00      3199.       8.38      214.      152. 0.0298    0.0064  -51.81
   55   54.00      3126.       7.93      205.      145. 0.0312    0.0060  -48.51
   56   55.00      3050.       7.37      192.      136. 0.0300    0.0058  -42.92
   57   56.00      2984.       7.56      199.      140. 0.0335    0.0060  -47.76
   58   57.00      2918.       8.42      223.      158. 0.0313    0.0065  -48.94
   59   58.00      2865.       8.51      227.      161. 0.0346    0.0066  -47.68
   60   59.00      2795.       8.29      224.      158. 0.0332    0.0065  -49.86
   61   60.00      2731.       7.52      205.      145. 0.0319    0.0060  -49.98
   62   61.00      2675.       6.84      188.      133. 0.0342    0.0056  -45.98
   63   62.00      2615.       5.92      164.      116. 0.0335    0.0049  -42.65
   64   63.00      2559.       4.84      135.      95.3 0.0343    0.0041  -41.72
   65   64.00      2496.        4.3      121.      85.3 0.0327    0.0038  -39.00
   66   65.00      2444.       3.88      110.      77.6 0.0329    0.0035  -35.27
   67   66.00      2394.       3.46      98.7      69.8 0.0318    0.0031  -32.53
   68   67.00      2350.        3.1       89.       63. 0.0356    0.0029  -30.41
   69   68.00      2305.       2.89      83.6      59.1 0.0393    0.0027  -30.16
   70   69.00      2253.       2.62      76.4       54. 0.0381    0.0025  -31.19
   71   70.00      2208.       2.52       74.      52.3 0.0373    0.0025  -30.42
   72   71.00      2168.       2.17      64.2      45.4 0.0380    0.0022  -32.29
   73   72.00      2125.       2.05      60.9      43.1 0.0371    0.0021  -30.79
   74   73.00      2079.       1.81      54.4      38.4 0.0365    0.0019  -29.88
   75   74.00      2045.       1.67      50.4      35.6 0.0376    0.0017  -29.55
   76   75.00      2003.       1.69      51.4      36.4 0.0358    0.0018  -29.24
   77   76.00      1961.       1.59      48.6      34.4 0.0343    0.0017  -29.41
   78   77.00      1932.        1.6      49.1      34.7 0.0368    0.0018  -28.16
   79   78.00      1899.       1.45       45.      31.8 0.0402    0.0016  -25.04
   80   79.00      1871.       1.37      42.7      30.2 0.0430    0.0016  -27.35
   81   80.00      1834.       1.39      43.6      30.8 0.0412    0.0016  -28.10
   82   81.00      1804.       1.34      42.1      29.8 0.0445    0.0015  -27.51
   83   82.00      1776.        1.4      44.5      31.4 0.0472    0.0017  -28.93
   84   83.00      1747.       1.51      48.2      34.1 0.0449    0.0018  -29.87
   85   84.00      1714.       1.45      46.4      32.8 0.0449    0.0017  -27.10
   86   85.00      1690.        1.5      48.2      34.1 0.0498    0.0018  -25.62
   87   86.00      1663.       1.58      51.3      36.3 0.0481    0.0019  -27.77
   88   87.00      1634.       1.59      51.8      36.7 0.0484    0.0020  -26.60
   89   88.00      1608.       1.49      48.9      34.6 0.0490    0.0019  -24.36
   90   89.00      1579.        1.4       46.      32.6 0.0467    0.0018  -27.29
   91   90.00      1548.        1.3       43.      30.4 0.0447    0.0017  -29.55
   92   91.00      1525.       1.26       42.      29.7 0.0467    0.0017  -29.37
   93   92.00      1501.       1.22      40.8      28.8 0.0482    0.0017  -28.62
   94   93.00      1482.       1.12      37.8      26.7 0.0516    0.0016  -27.44
   95   94.00      1460.       1.18      39.9      28.2 0.0517    0.0017  -29.00
   96   95.00      1437.       1.14      38.9      27.5 0.0498    0.0016  -28.53
   97   96.00      1413.       1.12      38.4      27.2 0.0500    0.0017  -28.24
   98   97.00      1395.       1.14      39.2      27.7 0.0511    0.0017  -28.05
   99   98.00      1374.        1.1      38.1       27. 0.0509    0.0017  -29.04
  100   99.00      1354.       1.11      38.6      27.3 0.0518    0.0017  -29.82
  101  100.00      1331.       1.06      37.1      26.2 0.0480    0.0017  -31.34
  102  101.00      1310.       1.12      39.3      27.8 0.0461    0.0018  -32.70
  103  102.00      1294.       1.12      39.7      28.1 0.0474    0.0018  -30.76
  104  103.00      1277.       1.11      39.3      27.8 0.0492    0.0018  -31.65
  105  104.00      1261.       1.15       41.       29. 0.0513    0.0018  -31.10
  106  105.00      1245.       1.19      42.4       30. 0.0525    0.0020  -29.99
  107  106.00      1221.       1.31      47.2      33.4 0.0459    0.0022  -30.58
  108  107.00      1207.       1.41      50.8      35.9 0.0471    0.0024  -31.25
  109  108.00      1190.       1.37       50.      35.3 0.0457    0.0023  -29.45
  110  109.00      1174.       1.26      46.1      32.6 0.0473    0.0022  -30.08
  111  110.00      1161.       1.18      43.1      30.5 0.0504    0.0020  -32.48
  112  111.00      1147.       1.11      40.9      28.9 0.0529    0.0019  -33.42
  113  112.00      1134.       1.08      40.1      28.3 0.0554    0.0019  -32.43
  114  113.00      1120.       1.08       40.      28.3 0.0554    0.0019  -33.06
  115  114.00      1106.       1.01      37.6      26.6 0.0565    0.0018  -31.52
  116  115.00      1092.       1.01      37.6      26.6 0.0578    0.0018  -31.92
  117  116.00      1081.      0.991      37.2      26.3 0.0598    0.0018  -32.45
  118  117.00      1063.       0.95      35.8      25.3 0.0578    0.0018  -33.13
  119  118.00      1047.      0.942      35.7      25.2 0.0569    0.0018  -32.41
  120  119.00      1036.      0.917      34.9      24.7 0.0601    0.0019  -30.43
  121  120.00      1020.      0.872      33.3      23.6 0.0570    0.0018  -31.64
  122  121.00      1009.      0.917      35.1      24.8 0.0589    0.0018  -31.02
  123  122.00       998.      0.886      34.1      24.1 0.0602    0.0018  -30.61
  124  123.00       987.      0.937      36.2      25.6 0.0614    0.0019  -30.74
  125  124.00       977.       1.02      39.6       28. 0.0627    0.0021  -30.74
  126  125.00       969.       1.08      41.8      29.6 0.0661    0.0022  -29.81
  127  126.00       960.       1.05      40.7      28.8 0.0702    0.0021  -29.62
  128  127.00       948.       1.01      39.6       28. 0.0680    0.0021  -32.10
  129  128.00       933.       1.01      39.9      28.2 0.0625    0.0022  -29.48
  130  129.00       923.       1.02      40.2      28.4 0.0639    0.0022  -30.01
  131  130.00       914.      0.966      38.3      27.1 0.0651    0.0021  -31.59
  132  131.00       904.      0.969      38.6      27.3 0.0644    0.0021  -30.14
  133  132.00       892.      0.888      35.5      25.1 0.0644    0.0019  -31.57
  134  133.00       878.      0.889      35.7      25.3 0.0614    0.0020  -32.33
  135  134.00       871.      0.823      33.2      23.5 0.0639    0.0018  -32.42
  136  135.00       862.      0.838      33.9       24. 0.0633    0.0019  -30.87
  137  136.00       852.      0.823      33.4      23.6 0.0648    0.0019  -30.42
  138  137.00       844.      0.801      32.6       23. 0.0666    0.0018  -30.42
  139  138.00       836.      0.793      32.4      22.9 0.0687    0.0018  -29.72
