# row  TMAG_C NPIX_E NPIX_C        A3  A3_ERR        B3  B3_ERR        A4
#                                                                        

    1   INDEF  INDEF  INDEF     INDEF   INDEF     INDEF   INDEF     INDEF
    2   -12.5      1      5    0.0304   0.031   -0.0179   0.029   -0.0111
    3   -13.5      9     13    0.0144 0.00555    0.0024  0.0052    0.0106
    4   -14.3     23     29   0.00269 0.00363   -0.0155 0.00371   0.00687
    5   -14.8     45     49   0.00313 0.00427   -0.0038 0.00432  -0.00439
    6   -15.3     69     81  -0.00388 0.00293   0.00573 0.00298   0.00282
    7   -15.6    107    113   0.00119 0.00374   -0.0151 0.00378    0.0063
    8   -15.9    145    149  -0.00385 0.00332   -0.0115 0.00334   0.00212
    9   -16.1    185    197  -0.00895 0.00435   -0.0152 0.00438    0.0117
   10   -16.4    243    253   0.00964  0.0041    0.0147 0.00416    0.0147
   11   -16.6    297    317   0.00159 0.00297   -0.0141 0.00299    0.0027
   12   -16.7    365    377  -0.00113 0.00406   -0.0143  0.0041   0.00637
   13   -16.9    437    441   0.00407 0.00279   -0.0167 0.00283  -0.00721
   14    -17.    517    529   0.00345 0.00217   -0.0037 0.00219  -0.00249
   15   -17.2    607    613   0.00204 0.00209  -0.00726 0.00209  -0.00352
   16   -17.3    697    709   0.00566 0.00215   0.00796 0.00216   0.00422
   17   -17.4    793    797  -0.00988 0.00185   0.00886 0.00186   3.57E-4
   18   -17.5    885    901  -0.00992 0.00155   0.00203 0.00155   0.00127
   19   -17.6   1001   1009  -0.00601  0.0018   0.00534  0.0018   0.00142
   20   -17.7   1117   1129  -0.00842 0.00173  -0.00104 0.00172  -0.00585
   21   -17.8   1239   1257  -0.00588 0.00149    0.0066 0.00149  -0.00138
   22   -17.9   1365   1373  -0.00583 0.00151    0.0062 0.00152   0.00423
   23    -18.   1487   1517  -0.00608  0.0013   0.00553  0.0013   0.00285
   24    -18.   1635   1653  -0.00276 0.00133   0.00773 0.00136   0.00423
   25   -18.1   1775   1793  -0.00216 0.00134   0.00692 0.00135   0.00286
   26   -18.2   1931   1961  -0.00203 0.00131   0.00417 0.00132   0.00333
   27   -18.2   2089   2121  -0.00398 0.00135   0.00428 0.00136   0.00444
   28   -18.3   2241   2289  -0.00234 0.00141   0.00767 0.00143   0.00543
   29   -18.3   2425   2453   0.00111  0.0014   0.00837 0.00141   0.00779
   30   -18.4   2599   2629    0.0013 0.00156    0.0101 0.00158   0.00614
   31   -18.4   2783   2821   0.00347 0.00145   0.00656 0.00145   0.00506
   32   -18.5   2969   3001   0.00285 0.00133   0.00647 0.00135   0.00486
   33   -18.5   3165   3209   0.00106 0.00133   0.00617 0.00135   0.00534
   34   -18.6   3369   3409   0.00185 0.00144   0.00677 0.00146   0.00363
   35   -18.6   3565   3625   0.00206 0.00154   0.00645 0.00157   0.00417
   36   -18.7   3779   3853    0.0045 0.00176    0.0082 0.00181   0.00495
   37   -18.7   3999   4053    0.0118  0.0027   0.00746 0.00257  -0.00543
   38   -18.8   4207   4293    0.0197 0.00438  -0.00789 0.00396   -0.0221
   39   -18.8   4357   4513     0.019 0.00601   -0.0252 0.00623   -0.0223
   40   -18.8   4499   4777    0.0159 0.00747   -0.0361 0.00807   -0.0169
   41   -18.9   4693   5025     0.019 0.00793   -0.0389 0.00848   -0.0215
   42   -18.9   4923   5261    0.0229 0.00833   -0.0394 0.00879   -0.0242
   43   -18.9   5175   5525    0.0199 0.00759   -0.0391 0.00805   -0.0234
   44    -19.   5455   5789    0.0211 0.00734   -0.0364  0.0077   -0.0239
   45    -19.   5739   6077     0.021 0.00655   -0.0327 0.00677   -0.0261
   46    -19.   6009   6361    0.0224 0.00635   -0.0292 0.00648    -0.027
   47    -19.   6319   6625    0.0239 0.00574   -0.0258 0.00578    -0.026
   48   -19.1   6631   6921    0.0219 0.00556   -0.0233 0.00558   -0.0271
   49   -19.1   6933   7213    0.0227 0.00523   -0.0219 0.00524   -0.0255
   50   -19.1   7267   7525    0.0219 0.00469   -0.0164 0.00466   -0.0229
   51   -19.2   7581   7845    0.0221 0.00441   -0.0138 0.00435   -0.0247
   52   -19.2   7895   8173    0.0225 0.00395  -0.00714 0.00385   -0.0222
   53   -19.2   8221   8497    0.0212  0.0035  -0.00279 0.00339   -0.0192
   54   -19.2   8557   8809    0.0182 0.00321  -0.00322 0.00313   -0.0173
   55   -19.3   8873   9145    0.0184 0.00299   0.00136 0.00292   -0.0131
   56   -19.3   9217   9477    0.0168 0.00288   0.00598 0.00284  -0.00901
   57   -19.3   9525   9845    0.0178 0.00301   0.00135 0.00296   -0.0133
   58   -19.3   9883  10189    0.0193 0.00326  -7.21E-4 0.00321   -0.0147
   59   -19.3  10201  10557    0.0199 0.00328   0.00115 0.00323   -0.0133
   60   -19.4  10571  10913    0.0196 0.00322  -0.00162 0.00317   -0.0143
   61   -19.4  10945  11289     0.018 0.00296  -0.00273 0.00293   -0.0131
   62   -19.4  11281  11681    0.0164 0.00282   9.98E-4 0.00279   -0.0101
   63   -19.4  11669  12061    0.0156 0.00241   0.00362 0.00239  -0.00765
   64   -19.4  12035  12453    0.0123 0.00205   0.00272 0.00203  -0.00521
   65   -19.5  12451  12853    0.0109 0.00186   0.00223 0.00185  -0.00492
   66   -19.5  12837  13273   0.00932 0.00172   0.00244 0.00172   -0.0026
   67   -19.5  13261  13673   0.00687 0.00153   0.00327 0.00154  -6.46E-4
   68   -19.5  13611  14073    0.0046 0.00144   0.00475 0.00144    0.0012
   69   -19.5  13947  14505   0.00525 0.00137   0.00489 0.00137   0.00146
   70   -19.5  14401  14949   0.00507 0.00128   0.00397 0.00128   0.00213
   71   -19.6  14821  15373   0.00722 0.00122   0.00393 0.00122    0.0032
   72   -19.6  15241  15813   0.00453 0.00111   0.00266 0.00111    0.0016
   73   -19.6  15679  16241   0.00338 0.00105   0.00356 0.00105   0.00157
   74   -19.6  16125  16729   0.00366 9.71E-4   0.00157 9.72E-4   0.00201
   75   -19.6  16557  17193   0.00368 8.81E-4   4.94E-4 8.82E-4   0.00245
   76   -19.6  17029  17665    0.0029 9.23E-4   7.91E-4 9.26E-4   0.00354
   77   -19.6  17521  18125   0.00278 8.93E-4   5.08E-4 8.94E-4   0.00588
   78   -19.7  17943  18605   0.00315 9.06E-4   0.00181 9.09E-4   0.00538
   79   -19.7  18353  19109   0.00181 8.49E-4   5.34E-4 8.51E-4   0.00428
   80   -19.7  18779  19577   3.20E-5 8.08E-4   5.03E-4 8.11E-4   0.00334
   81   -19.7  19283  20081  -7.98E-4 8.19E-4  -9.62E-4 8.20E-4   0.00262
   82   -19.7  19697  20593   -0.0016 8.04E-4  -7.47E-5 8.06E-4   0.00227
   83   -19.7  20125  21101   -0.0014 8.80E-4   3.24E-4 8.83E-4   0.00213
   84   -19.7  20679  21629  -0.00279 9.05E-4   3.41E-4 9.07E-4   0.00155
   85   -19.7  21167  22133  -0.00379 8.72E-4    0.0011 8.73E-4   5.29E-4
   86   -19.8  21577  22701  -0.00337 9.58E-4   8.52E-4 9.59E-4   7.23E-4
   87   -19.8  22129  23217  -0.00132 0.00101  -0.00113 0.00102   0.00195
   88   -19.8  22637  23769  -0.00115 0.00104   0.00109 0.00104   0.00227
   89   -19.8  23139  24313  -0.00212 0.00101   0.00137 0.00101   0.00237
   90   -19.8  23723  24845  -0.00324 9.52E-4  -9.34E-4 9.55E-4   0.00322
   91   -19.8  24291  25445  -0.00161 9.02E-4  -5.89E-4 9.04E-4   0.00271
   92   -19.8  24785  25997  -0.00108 8.93E-4   0.00108 8.96E-4   9.40E-4
   93   -19.8  25305  26565  -9.95E-4 8.90E-4   6.95E-4 8.93E-4   3.33E-4
   94   -19.8  25765  27145   9.45E-4 8.36E-4  -3.90E-5 8.39E-4  -1.54E-4
   95   -19.9  26325  27729   2.06E-5 8.72E-4  -0.00116 8.75E-4  -0.00134
   96   -19.9  26935  28345  -6.61E-4 8.61E-4   0.00116 8.64E-4   9.42E-4
   97   -19.9  27497  28917   4.07E-4 8.68E-4   0.00181 8.71E-4    0.0013
   98   -19.9  28037  29525   0.00238 8.76E-4   0.00113 8.78E-4  -0.00118
   99   -19.9  28637  30149  -1.99E-4 8.77E-4    0.0011 8.80E-4   1.23E-4
  100   -19.9  29207  30757   0.00119 9.07E-4    0.0012 9.09E-4  -2.40E-5
  101   -19.9  29903  31417  -7.46E-4 8.63E-4  -1.67E-4 8.66E-4   8.66E-4
  102   -19.9  30577  32017  -0.00205 9.20E-4  -6.46E-4 9.22E-4   9.96E-4
  103   -19.9  31123  32681  -0.00191 9.41E-4  -0.00161 9.45E-4   8.11E-4
  104   -19.9  31703  33317   4.73E-4 9.34E-4  -2.04E-4 9.37E-4  -7.77E-4
  105   -19.9  32237  33949   -0.0025 9.62E-4  -0.00191 9.65E-4   5.14E-4
  106    -20.  32809  34621   -0.0029 0.00102  -0.00173 0.00103  -1.46E-6
  107    -20.  33681  35265  -0.00536 0.00114  -8.87E-4 0.00114  -0.00148
  108    -20.  34275  35953  -0.00459 0.00122  -0.00203 0.00122  -3.01E-4
  109    -20.  34973  36625   -0.0033 0.00119  -7.17E-4 0.00119   4.03E-4
  110    -20.  35569  37297  -0.00286 0.00112   5.41E-4 0.00112  -0.00112
  111    -20.  36101  37981  -0.00242 0.00104  -2.76E-4 0.00104  -4.76E-4
  112    -20.  36655  38669  -6.75E-4 9.93E-4   4.41E-5 9.97E-4   6.18E-4
  113    -20.  37221  39381  -0.00258 9.81E-4   0.00123 9.83E-4   6.08E-4
  114    -20.  37899  40089  -0.00104 9.85E-4   6.16E-4 9.88E-4   3.05E-4
  115    -20.  38527  40793  -0.00124 9.46E-4   5.16E-5 9.50E-4  -4.07E-4
  116    -20.  39161  41545   -0.0017 9.70E-4  -8.30E-4 9.73E-4  -1.20E-5
  117   -20.1  39757  42265  -0.00153 9.59E-4   2.29E-4 9.63E-4  -0.00186
  118   -20.1  40525  42981  -9.44E-4 9.50E-4  -0.00122 9.53E-4   -0.0014
  119   -20.1  41253  43709  -0.00207 9.68E-4  -0.00261 9.72E-4  -0.00261
  120   -20.1  41811  44469  -2.83E-4 9.81E-4  -0.00132 9.85E-4  -0.00204
