#    L    TT             EE             BB             TE          
     2   0.101089E+04   0.312788E-01   0.181660E-05   0.265666E+01
     3   0.955885E+03   0.408747E-01   0.363037E-05   0.301143E+01
     4   0.904489E+03   0.364541E-01   0.604751E-05   0.284221E+01
     5   0.866532E+03   0.253474E-01   0.906992E-05   0.243843E+01
     6   0.840743E+03   0.148162E-01   0.126981E-04   0.198124E+01
     7   0.824487E+03   0.809410E-02   0.169344E-04   0.157013E+01
     8   0.814908E+03   0.492547E-02   0.217780E-04   0.124889E+01
     9   0.810313E+03   0.372128E-02   0.272322E-04   0.102549E+01
    10   0.809674E+03   0.317786E-02   0.332955E-04   0.892808E+00
    11   0.811684E+03   0.275551E-02   0.399726E-04   0.835707E+00
    12   0.816647E+03   0.253086E-02   0.472611E-04   0.836073E+00
    13   0.823053E+03   0.225145E-02   0.551671E-04   0.871211E+00
    14   0.830200E+03   0.223971E-02   0.636867E-04   0.919410E+00
    15   0.838369E+03   0.243366E-02   0.728278E-04   0.974491E+00
    16   0.847941E+03   0.268283E-02   0.825848E-04   0.103476E+01
    17   0.859020E+03   0.308752E-02   0.929677E-04   0.109773E+01
    18   0.870850E+03   0.360807E-02   0.103968E-03   0.116254E+01
    19   0.884264E+03   0.424228E-02   0.115599E-03   0.122895E+01
    20   0.897545E+03   0.504156E-02   0.127850E-03   0.129457E+01
    21   0.910989E+03   0.596695E-02   0.140736E-03   0.136202E+01
    22   0.924839E+03   0.704176E-02   0.154243E-03   0.143296E+01
    23   0.938950E+03   0.826916E-02   0.168389E-03   0.150503E+01
    24   0.953446E+03   0.962016E-02   0.183158E-03   0.157502E+01
    25   0.968327E+03   0.111282E-01   0.198570E-03   0.164033E+01
    26   0.983444E+03   0.127974E-01   0.214606E-03   0.170020E+01
    27   0.998965E+03   0.146165E-01   0.231290E-03   0.175350E+01
    28   0.101468E+04   0.165984E-01   0.248599E-03   0.180024E+01
    29   0.103072E+04   0.187542E-01   0.266559E-03   0.184029E+01
    30   0.104704E+04   0.211032E-01   0.285144E-03   0.187250E+01
    31   0.106346E+04   0.236590E-01   0.304385E-03   0.189799E+01
    32   0.108013E+04   0.264206E-01   0.324250E-03   0.191767E+01
    33   0.109709E+04   0.293802E-01   0.344774E-03   0.192938E+01
    34   0.111420E+04   0.325435E-01   0.365922E-03   0.193161E+01
    35   0.113153E+04   0.359259E-01   0.387733E-03   0.192534E+01
    36   0.114909E+04   0.395492E-01   0.410167E-03   0.191084E+01
    37   0.116674E+04   0.434162E-01   0.433266E-03   0.188692E+01
    38   0.118461E+04   0.475300E-01   0.456987E-03   0.185400E+01
    39   0.120274E+04   0.518856E-01   0.481376E-03   0.181164E+01
    40   0.122096E+04   0.564815E-01   0.506385E-03   0.175898E+01
    41   0.123944E+04   0.613236E-01   0.532065E-03   0.169503E+01
    42   0.125800E+04   0.664264E-01   0.558362E-03   0.161906E+01
    43   0.127677E+04   0.718064E-01   0.585334E-03   0.153045E+01
    44   0.129562E+04   0.774653E-01   0.612919E-03   0.142944E+01
    45   0.131493E+04   0.834153E-01   0.641181E-03   0.131636E+01
    46   0.133462E+04   0.896671E-01   0.670054E-03   0.118965E+01
    47   0.135451E+04   0.962116E-01   0.699607E-03   0.105009E+01
    48   0.137449E+04   0.103042E+00   0.729766E-03   0.901713E+00
    49   0.139457E+04   0.110130E+00   0.760608E-03   0.747938E+00
    50   0.141495E+04   0.117440E+00   0.792052E-03   0.585416E+00
    51   0.143536E+04   0.124933E+00   0.824181E-03   0.409410E+00
    52   0.145604E+04   0.132701E+00   0.856909E-03   0.215268E+00
    53   0.147666E+04   0.140898E+00   0.890324E-03   0.206950E-03
    54   0.149716E+04   0.149525E+00   0.924333E-03  -0.230594E+00
    55   0.151780E+04   0.158567E+00   0.959032E-03  -0.471841E+00
    56   0.153881E+04   0.167887E+00   0.994321E-03  -0.724550E+00
    57   0.156015E+04   0.177372E+00   0.103030E-02  -0.988700E+00
    58   0.158180E+04   0.187029E+00   0.106687E-02  -0.126524E+01
    59   0.160363E+04   0.196889E+00   0.110413E-02  -0.155513E+01
    60   0.162564E+04   0.207001E+00   0.114197E-02  -0.185792E+01
    61   0.164813E+04   0.217456E+00   0.118052E-02  -0.217295E+01
    62   0.167050E+04   0.228240E+00   0.121963E-02  -0.250109E+01
    63   0.169297E+04   0.239318E+00   0.125945E-02  -0.284327E+01
    64   0.171584E+04   0.250702E+00   0.129984E-02  -0.320062E+01
    65   0.173871E+04   0.262371E+00   0.134094E-02  -0.357368E+01
    66   0.176190E+04   0.274259E+00   0.138260E-02  -0.396056E+01
    67   0.178523E+04   0.286368E+00   0.142497E-02  -0.435877E+01
    68   0.180899E+04   0.298737E+00   0.146791E-02  -0.476693E+01
    69   0.183295E+04   0.311324E+00   0.151155E-02  -0.518360E+01
    70   0.185725E+04   0.324169E+00   0.155576E-02  -0.561075E+01
    71   0.188173E+04   0.337260E+00   0.160069E-02  -0.605096E+01
    72   0.190641E+04   0.350571E+00   0.164617E-02  -0.650524E+01
    73   0.193123E+04   0.364067E+00   0.169237E-02  -0.697374E+01
    74   0.195623E+04   0.377737E+00   0.173913E-02  -0.745509E+01
    75   0.198151E+04   0.391590E+00   0.178661E-02  -0.794737E+01
    76   0.200699E+04   0.405628E+00   0.183464E-02  -0.844959E+01
    77   0.203275E+04   0.419842E+00   0.188341E-02  -0.896170E+01
    78   0.205883E+04   0.434260E+00   0.193272E-02  -0.948537E+01
    79   0.208507E+04   0.448825E+00   0.198278E-02  -0.100171E+02
    80   0.211160E+04   0.463543E+00   0.203338E-02  -0.105584E+02
    81   0.213833E+04   0.478364E+00   0.208473E-02  -0.111102E+02
    82   0.216532E+04   0.493308E+00   0.213662E-02  -0.116715E+02
    83   0.219252E+04   0.508350E+00   0.218927E-02  -0.122421E+02
    84   0.222000E+04   0.523485E+00   0.224245E-02  -0.128202E+02
    85   0.224762E+04   0.538689E+00   0.229641E-02  -0.134070E+02
    86   0.227546E+04   0.553972E+00   0.235090E-02  -0.140015E+02
    87   0.230374E+04   0.569304E+00   0.240617E-02  -0.146028E+02
    88   0.233202E+04   0.584701E+00   0.246197E-02  -0.152109E+02
    89   0.236067E+04   0.600148E+00   0.251856E-02  -0.158272E+02
    90   0.238955E+04   0.615608E+00   0.257569E-02  -0.164486E+02
    91   0.241858E+04   0.631073E+00   0.263362E-02  -0.170759E+02
    92   0.244791E+04   0.646529E+00   0.269208E-02  -0.177083E+02
    93   0.247753E+04   0.661969E+00   0.275136E-02  -0.183458E+02
    94   0.250724E+04   0.677356E+00   0.281116E-02  -0.189870E+02
    95   0.253724E+04   0.692688E+00   0.287180E-02  -0.196326E+02
    96   0.256724E+04   0.707953E+00   0.293297E-02  -0.202819E+02
    97   0.259770E+04   0.723134E+00   0.299497E-02  -0.209342E+02
    98   0.262838E+04   0.738224E+00   0.305752E-02  -0.215874E+02
    99   0.265913E+04   0.753187E+00   0.312091E-02  -0.222444E+02
   100   0.269019E+04   0.768023E+00   0.318485E-02  -0.229007E+02
   101   0.272139E+04   0.782790E+00   0.324965E-02  -0.235594E+02
   102   0.275312E+04   0.797340E+00   0.331499E-02  -0.242183E+02
   103   0.278478E+04   0.811748E+00   0.338121E-02  -0.248781E+02
   104   0.281666E+04   0.826014E+00   0.344798E-02  -0.255359E+02
   105   0.284870E+04   0.840064E+00   0.351565E-02  -0.261933E+02
   106   0.288096E+04   0.853971E+00   0.358386E-02  -0.268494E+02
   107   0.291314E+04   0.867587E+00   0.365298E-02  -0.275029E+02
   108   0.294571E+04   0.880988E+00   0.372266E-02  -0.281545E+02
   109   0.297842E+04   0.894098E+00   0.379327E-02  -0.288027E+02
   110   0.301121E+04   0.906917E+00   0.386443E-02  -0.294461E+02
   111   0.304415E+04   0.919521E+00   0.393654E-02  -0.300863E+02
   112   0.307725E+04   0.931834E+00   0.400921E-02  -0.307223E+02
   113   0.311056E+04   0.943856E+00   0.408284E-02  -0.313528E+02
   114   0.314396E+04   0.955512E+00   0.415704E-02  -0.319770E+02
   115   0.317757E+04   0.966952E+00   0.423222E-02  -0.325947E+02
   116   0.321119E+04   0.977952E+00   0.430797E-02  -0.332053E+02
   117   0.324511E+04   0.988586E+00   0.438473E-02  -0.338079E+02
   118   0.327917E+04   0.999002E+00   0.446205E-02  -0.344034E+02
   119   0.331324E+04   0.100905E+01   0.454040E-02  -0.349893E+02
   120   0.334745E+04   0.101859E+01   0.461933E-02  -0.355657E+02
   121   0.338166E+04   0.102790E+01   0.469930E-02  -0.361326E+02
   122   0.341594E+04   0.103670E+01   0.477985E-02  -0.366892E+02
   123   0.345030E+04   0.104506E+01   0.486147E-02  -0.372354E+02
   124   0.348473E+04   0.105305E+01   0.494367E-02  -0.377683E+02
   125   0.351915E+04   0.106060E+01   0.502695E-02  -0.382900E+02
   126   0.355365E+04   0.106779E+01   0.511083E-02  -0.387998E+02
   127   0.358814E+04   0.107445E+01   0.519581E-02  -0.392969E+02
   128   0.362263E+04   0.108075E+01   0.528138E-02  -0.397805E+02
   129   0.365719E+04   0.108653E+01   0.536808E-02  -0.402499E+02
   130   0.369174E+04   0.109179E+01   0.545538E-02  -0.407043E+02
   131   0.372629E+04   0.109669E+01   0.554383E-02  -0.411451E+02
   132   0.376091E+04   0.110106E+01   0.563287E-02  -0.415694E+02
   133   0.379546E+04   0.110500E+01   0.572309E-02  -0.419795E+02
   134   0.383000E+04   0.110849E+01   0.581391E-02  -0.423708E+02
   135   0.386454E+04   0.111146E+01   0.590593E-02  -0.427464E+02
   136   0.389893E+04   0.111391E+01   0.599854E-02  -0.431026E+02
   137   0.393333E+04   0.111591E+01   0.609237E-02  -0.434417E+02
   138   0.396765E+04   0.111740E+01   0.618681E-02  -0.437621E+02
   139   0.400175E+04   0.111851E+01   0.628249E-02  -0.440632E+02
   140   0.403594E+04   0.111903E+01   0.637877E-02  -0.443457E+02
   141   0.406991E+04   0.111903E+01   0.647630E-02  -0.446074E+02
   142   0.410388E+04   0.111859E+01   0.657445E-02  -0.448490E+02
   143   0.413779E+04   0.111769E+01   0.667387E-02  -0.450706E+02
   144   0.417149E+04   0.111628E+01   0.677391E-02  -0.452715E+02
   145   0.420505E+04   0.111448E+01   0.687523E-02  -0.454509E+02
   146   0.423869E+04   0.111210E+01   0.697717E-02  -0.456089E+02
   147   0.427198E+04   0.110934E+01   0.708043E-02  -0.457440E+02
   148   0.430513E+04   0.110605E+01   0.718429E-02  -0.458576E+02
   149   0.433822E+04   0.110232E+01   0.728948E-02  -0.459484E+02
   150   0.437104E+04   0.109821E+01   0.739529E-02  -0.460141E+02
   151   0.440372E+04   0.109365E+01   0.750244E-02  -0.460577E+02
   152   0.443612E+04   0.108857E+01   0.761021E-02  -0.460777E+02
   153   0.446839E+04   0.108311E+01   0.771934E-02  -0.460719E+02
   154   0.450044E+04   0.107728E+01   0.782907E-02  -0.460424E+02
   155   0.453229E+04   0.107106E+01   0.794019E-02  -0.459885E+02
   156   0.456378E+04   0.106447E+01   0.805190E-02  -0.459102E+02
   157   0.459520E+04   0.105750E+01   0.816502E-02  -0.458059E+02
   158   0.462633E+04   0.105022E+01   0.827873E-02  -0.456764E+02
   159   0.465716E+04   0.104249E+01   0.839385E-02  -0.455216E+02
   160   0.468778E+04   0.103446E+01   0.850957E-02  -0.453401E+02
   161   0.471818E+04   0.102619E+01   0.862671E-02  -0.451333E+02
   162   0.474828E+04   0.101755E+01   0.874443E-02  -0.449012E+02
   163   0.477824E+04   0.100859E+01   0.886359E-02  -0.446422E+02
   164   0.480774E+04   0.999404E+00   0.898333E-02  -0.443579E+02
   165   0.483709E+04   0.989908E+00   0.910451E-02  -0.440460E+02
   166   0.486614E+04   0.980252E+00   0.922626E-02  -0.437079E+02
   167   0.489496E+04   0.970213E+00   0.934948E-02  -0.433444E+02
   168   0.492333E+04   0.960161E+00   0.947324E-02  -0.429532E+02
   169   0.495139E+04   0.949799E+00   0.959848E-02  -0.425343E+02
   170   0.497914E+04   0.939349E+00   0.972426E-02  -0.420891E+02
   171   0.500643E+04   0.928810E+00   0.985152E-02  -0.416155E+02
   172   0.503334E+04   0.918109E+00   0.997930E-02  -0.411148E+02
   173   0.505979E+04   0.907244E+00   0.101086E-01  -0.405871E+02
   174   0.508592E+04   0.896511E+00   0.102384E-01  -0.400323E+02
   175   0.511166E+04   0.885613E+00   0.103696E-01  -0.394496E+02
   176   0.513687E+04   0.874773E+00   0.105014E-01  -0.388391E+02
   177   0.516168E+04   0.863915E+00   0.106347E-01  -0.382022E+02
   178   0.518603E+04   0.853262E+00   0.107684E-01  -0.375375E+02
   179   0.520992E+04   0.842517E+00   0.109037E-01  -0.368448E+02
   180   0.523349E+04   0.831902E+00   0.110394E-01  -0.361258E+02
   181   0.525652E+04   0.821417E+00   0.111766E-01  -0.353803E+02
   182   0.527909E+04   0.811134E+00   0.113142E-01  -0.346070E+02
   183   0.530113E+04   0.800981E+00   0.114534E-01  -0.338072E+02
   184   0.532279E+04   0.791030E+00   0.115929E-01  -0.329802E+02
   185   0.534398E+04   0.781429E+00   0.117340E-01  -0.321283E+02
   186   0.536435E+04   0.772038E+00   0.118755E-01  -0.312485E+02
   187   0.538455E+04   0.762995E+00   0.120184E-01  -0.303423E+02
   188   0.540423E+04   0.754288E+00   0.121618E-01  -0.294110E+02
   189   0.542330E+04   0.745951E+00   0.123066E-01  -0.284533E+02
   190   0.544221E+04   0.738036E+00   0.124517E-01  -0.274714E+02
   191   0.546023E+04   0.730566E+00   0.125984E-01  -0.264623E+02
   192   0.547786E+04   0.723561E+00   0.127454E-01  -0.254281E+02
   193   0.549489E+04   0.717067E+00   0.128938E-01  -0.243705E+02
   194   0.551155E+04   0.711112E+00   0.130426E-01  -0.232871E+02
   195   0.552760E+04   0.705732E+00   0.131928E-01  -0.221802E+02
   196   0.554306E+04   0.700965E+00   0.133432E-01  -0.210490E+02
   197   0.555807E+04   0.696853E+00   0.134952E-01  -0.198950E+02
   198   0.557255E+04   0.693421E+00   0.136473E-01  -0.187175E+02
   199   0.558651E+04   0.690702E+00   0.138009E-01  -0.175172E+02
   200   0.559995E+04   0.688728E+00   0.139547E-01  -0.162948E+02
   201   0.561280E+04   0.687555E+00   0.141100E-01  -0.150495E+02
   202   0.562512E+04   0.687194E+00   0.142654E-01  -0.137829E+02
   203   0.563685E+04   0.687703E+00   0.144222E-01  -0.124943E+02
