Days,num_casos
0.0,0
1.0,0
2.0,0
3.0,0
4.0,0
5.0,0
6.0,0
7.0,0
8.0,0
9.0,0
10.0,0
11.0,0
12.0,0
13.0,0
14.0,0
15.0,0
16.0,0
17.0,0
18.0,0
19.0,0
20.0,0
21.0,0
22.0,0
23.0,0
24.0,0
25.0,0
26.0,0
27.0,0
28.0,0
29.0,0
30.0,0
31.0,0
32.0,0
33.0,0
34.0,0
35.0,0
36.0,0
37.0,0
38.0,0
39.0,0
40.0,0
41.0,0
42.0,0
43.0,0
44.0,0
45.0,0
46.0,0
47.0,0
48.0,0
49.0,0
50.0,0
51.0,0
52.0,0
53.0,1
54.0,0
55.0,9
56.0,0
57.0,0
58.0,0
59.0,1
60.0,1
61.0,0
62.0,0
63.0,0
64.0,0
65.0,9
66.0,12
67.0,17
68.0,9
69.0,3
70.0,17
71.0,36
72.0,54
73.0,59
74.0,68
75.0,72
76.0,75
77.0,89
78.0,178
79.0,143
80.0,99
81.0,84
82.0,88
83.0,58
84.0,57
85.0,39
86.0,73
87.0,68
88.0,39
89.0,27
90.0,33
91.0,72
92.0,53
93.0,34
94.0,63
95.0,25
96.0,27
97.0,13
98.0,27
99.0,23
100.0,29
101.0,24
102.0,46
103.0,35
104.0,14
105.0,17
106.0,18
107.0,26
108.0,13
109.0,15
110.0,25
111.0,10
112.0,26
113.0,26
114.0,14
115.0,13
116.0,4
117.0,2
118.0,5
119.0,4
120.0,12
121.0,16
122.0,0
123.0,3
124.0,2
125.0,0
126.0,1
127.0,0
128.0,2
129.0,3
130.0,4
131.0,8
132.0,8
133.0,1
134.0,2
135.0,2
136.0,3
137.0,1
138.0,5
139.0,2
140.0,0
141.0,3
142.0,2
143.0,3
144.0,1
145.0,1
146.0,4
147.0,2
148.0,2
149.0,3
150.0,2
151.0,1
152.0,3
153.0,2
154.0,0
155.0,1
156.0,2
157.0,0
158.0,2
159.0,1
160.0,0
161.0,2
162.0,4
163.0,2
164.0,1
165.0,1
166.0,1
167.0,2
168.0,3
169.0,3
170.0,0
171.0,3
172.0,4
173.0,1
174.0,2
175.0,2
176.0,0
177.0,3
178.0,2
179.0,0
180.0,0
181.0,1
182.0,1
183.0,2
184.0,1
185.0,1
186.0,1
187.0,0
188.0,1
189.0,1
190.0,1
191.0,2
192.0,0
193.0,2
194.0,3
195.0,2
196.0,6
197.0,4
198.0,4
199.0,9
200.0,4
201.0,10
202.0,5
203.0,9
204.0,8
205.0,6
206.0,9
207.0,4
208.0,6
209.0,5
210.0,12
211.0,25
212.0,13
213.0,37
214.0,23
215.0,42
216.0,49
217.0,28
218.0,38
219.0,50
220.0,41
221.0,25
222.0,40
223.0,76
224.0,54
225.0,49
226.0,54
227.0,63
228.0,62
229.0,62
230.0,72
231.0,53
232.0,74
233.0,77
234.0,86
235.0,64
236.0,76
237.0,88
238.0,91
239.0,82
240.0,139
241.0,82
242.0,101
243.0,127
244.0,147
245.0,119
246.0,88
247.0,91
248.0,61
249.0,127
250.0,144
251.0,145
252.0,94
253.0,104
254.0,79
255.0,89
256.0,112
257.0,77
258.0,104
259.0,93
260.0,73
261.0,71
262.0,67
263.0,61
264.0,59
265.0,63
266.0,56
267.0,43
268.0,62
269.0,31
270.0,38
271.0,51
272.0,44
273.0,50
274.0,62
275.0,46
276.0,43
277.0,40
278.0,36
279.0,58
280.0,51
281.0,52
282.0,60
283.0,72
284.0,65
285.0,75
286.0,97
287.0,128
288.0,101
289.0,109
290.0,131
291.0,144
292.0,182
293.0,165
294.0,185
295.0,151
296.0,150
297.0,167
298.0,143
299.0,188
300.0,183
301.0,208
302.0,177
303.0,195
304.0,204
305.0,189
306.0,260
307.0,238
308.0,222
309.0,241
310.0,206
311.0,233
312.0,202
313.0,224
314.0,236
315.0,232
316.0,193
317.0,210
318.0,233
319.0,148
320.0,181
321.0,174
322.0,166
323.0,119
324.0,135
325.0,125
326.0,85
327.0,113
328.0,98
329.0,110
330.0,96
331.0,114
332.0,76
333.0,74
334.0,80
335.0,201
336.0,125
337.0,124
338.0,99
339.0,96
340.0,67
341.0,82
342.0,86
343.0,64
344.0,81
345.0,58
346.0,80
347.0,77
348.0,70
349.0,74
350.0,76
351.0,72
352.0,67
353.0,38
354.0,55
355.0,65
356.0,65
357.0,88
358.0,57
359.0,68
360.0,72
361.0,89
362.0,118
363.0,103
364.0,109
365.0,77
366.0,173
367.0,97
368.0,129
369.0,131
370.0,143
371.0,143
372.0,156
373.0,153
374.0,138
375.0,135
376.0,203
377.0,158
378.0,163
379.0,141
380.0,167
381.0,159
382.0,155
383.0,183
384.0,165
385.0,180
386.0,168
387.0,206
388.0,178
389.0,111
390.0,162
391.0,141
392.0,157
393.0,141
394.0,141
395.0,108
396.0,82
397.0,107
398.0,125
399.0,80
400.0,124
401.0,79
402.0,87
403.0,60
404.0,114
405.0,81
406.0,74
407.0,80
408.0,82
409.0,46
410.0,59
411.0,95
412.0,58
413.0,49
414.0,80
415.0,54
416.0,53
417.0,40
418.0,55
419.0,47
420.0,54
421.0,45
422.0,46
423.0,26
424.0,43
425.0,56
426.0,41
427.0,37
428.0,33
429.0,34
430.0,31
431.0,46
432.0,34
433.0,39
434.0,46
435.0,34
436.0,51
437.0,37
438.0,37
439.0,44
440.0,36
441.0,58
442.0,41
443.0,46
444.0,48
445.0,30
446.0,58
447.0,48
448.0,58
449.0,65
450.0,55
451.0,51
452.0,57
453.0,54
454.0,56
455.0,65
456.0,50
457.0,53
458.0,67
459.0,60
460.0,70
461.0,99
462.0,82
463.0,71
464.0,69
465.0,81
466.0,104
467.0,87
468.0,88
469.0,115
470.0,112
471.0,112
472.0,92
473.0,126
474.0,120
475.0,99
476.0,104
477.0,111
478.0,134
479.0,76
480.0,83
481.0,117
482.0,89
483.0,121
484.0,85
485.0,89
486.0,79
487.0,76
488.0,83
489.0,76
490.0,75
491.0,50
492.0,41
493.0,48
494.0,39
495.0,40
496.0,50
497.0,36
498.0,38
499.0,34
500.0,33
501.0,26
502.0,40
503.0,39
504.0,31
505.0,37
506.0,42
507.0,38
508.0,28
509.0,38
510.0,34
511.0,38
512.0,38
513.0,35
514.0,36
515.0,36
516.0,27
517.0,39
518.0,19
519.0,27
520.0,38
521.0,24
522.0,13
523.0,32
524.0,26
525.0,23
526.0,20
527.0,24
528.0,14
529.0,26
530.0,43
531.0,44
532.0,54
533.0,66
534.0,53
535.0,74
536.0,65
537.0,77
538.0,100
539.0,112
540.0,83
541.0,96
542.0,108
543.0,135
544.0,185
545.0,214
546.0,197
547.0,201
548.0,248
549.0,174
550.0,189
551.0,280
552.0,301
553.0,292
554.0,271
555.0,211
556.0,209
557.0,225
558.0,305
559.0,278
560.0,285
561.0,276
562.0,272
563.0,288
564.0,267
565.0,337
566.0,308
567.0,306
568.0,326
569.0,253
570.0,279
571.0,227
